column_id	line_number	text
right	36	Soon ripe; early.
right	37	<b>Ñ-WAR'-A-N-DI-A</b>, <i>n.</i> (Wara, dia).
right	38	The earliest yams. <i>Syn.</i>, Mbuüt-
right	39	abia.
right	40	<b>ÑWAT'-ÑWAT</b>, <i>a. & adv.</i> Neither
right	41	large nor small; of average size.
right	42	<i>Syn.</i>, Uwañ-uwañ.
right	43	<b>ÑWA-WAR'-A</b>, <i>n.</i> (Wara). The first
right	44	pot planted in the season. <i>Syn.</i>,
right	45	Ebrësiën.
right	46	<b>ÑWE'-ÑWE</b>, <i>adv.</i> Out of breath ;
right	47	pantingly. <b>Öbiöñöde, v., oduk</b>
right	48	ñwe-ñwe, <i>He rushed in out of</i>
right	49	<i>breath.</i>
right	50	<b>ÑWEM'-E</b>, <i>v. tr.</i> 1. To covet, be
right	51	greedy of, as one disposed to ap-
