english_word,carolinian_headword,dialect,page_number
adopt,mweimwey,NA,499
adopt,mweiti,NA,499
adorn,féuta,NA,499
adorn,fouta,TAN,499
advice,ffél,NA,499
advice,houffén,TAN,499
advice,souffél,NA,499
advise,afalafal1,NA,499
advise,afalafala,NA,499
advise,félééw,NA,499
advise,ffén,"TAN, LN",499
advise,fénééy,TAN,499
advisor,malereepi,NA,499
adze,hele,TAN,499
adze,sele,NA,499
affection,ákkáfisch,NA,499
afraid,laang,NA,499
afraid,lúw,NA,499
afraid,lúweeti,NA,499
afraid,mahag,TAN,499
afraid,mesagh,NA,499
afraid,mesaghú,NA,500
afraid,núw,TAN,500
afraid,núweeti,TAN,500
afraid,parang,NA,500
after,mwiir,NA,500
after,mwiril,NA,500
after,mwirimwiril,NA,500
after,pasaw,NA,500
afternoon,leealowah,TAN,500
afternoon,leealowaheey,TAN,500
afternoon,leealowas,NA,500
afternoon,leólowaseey,NA,500
afternoon,leepal,NA,500
afternoon,leepaliiy,NA,500
afternoon,luugholapal alowas,NA,500
afterward,mwirimwiril,NA,500
afterward,mwúrilóól,NA,500
again,bwal,NA,500
against,kontura,NA,500
age,haran,TAN,500
age,lapalap,NA,500
age,libwal,NA,501
age,libwan,TAN,501
age,ráág,TAN,501
age,ráágh,NA,501
age,ssáfengel,NA,501
age,sárel,NA,501
age,tappal,NA,501
age,tappan,TAN,501
aged,mwug,TAN,501
agentive prefix,male–,NA,501
agentive prefix,mane–,TAN,501
agentive prefix,s3u –,NA,501
aggravate,abweebwe,NA,501
agile,ruuru1,NA,501
Agingan,Ghafeetiya,NA,501
agree,abwung,NA,501
agree,bwung,NA,501
agree,bwungul3,NA,501
agree,ppwol1,NA,501
agree,tipeew,TAN,502
agree,tipiyew,NA,502
agreement,abwungobwung,NA,502
agreement,apilúgúlúgú,TAN,502
agreement,awuufat,NA,502
agreement,ppwol1,NA,502
agreement,werefat,TAN,502
Agrihan,Ageriigan,TAN,502
Agrihan,Aghériighan,NA,502
aground,got,TAN,502
aground,ghot,NA,502
aid,tapatap2,NA,502
aid,túmúlú,NA,502
aid,túmúnú,"TAN, LN",502
aim,amwáángeli,NA,502
aim,amwáángeni,TAN,502
aimless,-paat,NA,502
airplane,pileen,NA,502
airplane,sikooki,NA,502
airplane,waa húúhú,TAN,502
air-raid shelter,bwokongo,NA,503
ajinomoto,azinomoto,NA,503
Alamagan,Lalamwáágin,TAN,503
Alamagan,Lólomwáághil,NA,503
alarm,arong2,NA,503
alarm,ssigh3,NA,503
alcoholic beverages,áschi,NA,503
Aldebaran,Wuun,NA,503
alert,faffalló,NA,503
alert,húllúló,TAN,503
alert,metaffaló,NA,503
alert,sassaghurúúló,NA,503
alert,sússúllúló,NA,503
Alexandrian laurel,rághisch,NA,503
Alexandrian laurel,regirh,TAN,503
Alexandrian laurel,safang,NA,503
alien,schóól lughul,NA,504
alight1,bwuppwurat,NA,504
alight1,gú,TAN,504
alight1,ghú1,NA,504
alight1,ttil,NA,504
alight1,ttin,TAN,504
alight2,hóó-,TAN,504
alight2,hóóló,TAN,504
alight2,sóó-,NA,504
alight2,sóóló,NA,504
alive,malaw,NA,504
alive,manaw,TAN,504
all,alonga–,NA,504
allergic reaction,bwárigh,NA,504
allergic reaction,ttiyaw,NA,504
allergic reaction,uró,NA,504
alligator,aligitór,TAN,504
all the way,–ffósch,NA,504
ally,kuumi,NA,505
almond,taliisay,NA,505
almond,tiliisey,TAN,505
almost,bwetá 2,NA,505
alone,áláá-,NA,505
along,aro–,NA,505
also,bwal,NA,505
also,ppal3,NA,505
also,ppwal,NA,505
also,ppwan2,TAN,505
Altair,Mááilap,NA,505
alternate,siiweli,NA,505
although,bwete,NA,505
ambivalent,tiperáárá,NA,505
American,libwerh,TAN,505
American,libwesch,NA,505
among,fengáll,NA,506
among,leyi–,NA,506
amount,egúh,TAN,506
amount,eghus,NA,506
amount,gúfiti–,TAN,506
amount,ghufiti–,NA,506
amount,–ghus,NA,506
amount,llapa–,NA,506
amount,–metch,TAN,506
amputate,paghúw,NA,506
amuse,appwó,NA,506
amuse,appwóóy,NA,506
amusement,abwaabwa,NA,506
amusing,ághekkáy,NA,506
Anatahan,Lataal,NA,506
Anatahan,Lataan,TAN,506
ancestor,remweiwe,NA,506
ancestor,rhepin ainang,TAN,506
ancestor,schepil ailang,NA,506
ancestral home,bwughos,NA,507
anchor,féétág,TAN,507
anchor,féétágh,NA,507
anchor,féétághi,NA,507
anchovy,tiil,NA,507
ancient,lóómw1,NA,507
ancient,mwug,TAN,507
and,bwal,NA,507
and,iwe1,NA,507
and,me2,NA,507
and,nge1,NA,507
and then,bwughiischagh,NA,507
angel,anghit,TAN,507
angel,angit,NA,507
anger,abweschikkara1,NA,507
anger,ahoonga,TAN,507
anger,ahunguhung,TAN,507
anger,asoonga,NA,507
anger,asúngúsúng,NA,507
anger,álingáringár,TAN,507
anger,hee,TAN,508
anger,liyálingáringár,NA,508
anger,see,NA,508
anger,soongommang,NA,508
anger,utiyóólómw,NA,508
anger,wetiyaanómw,TAN,508
angle,gháásch,NA,508
angry,abweschikkara1,NA,508
angry,ahoonga,TAN,508
angry,amwááng,NA,508
angry,asoonga,NA,508
angry,bway,NA,508
angry,bwárigh,NA,508
angry,hohhoong,TAN,508
angry,hoong,TAN,508
angry,hoongoló,TAN,508
angry,lihoongofay,TAN,508
angry,llingár,NA,508
angry,llingárengár,NA,508
angry,lisoongofay,NA,508
angry,masanngaw,NA,509
angry,ngetetá,TAN,509
angry,sanngaw,NA,509
angry,soong,NA,509
angry,soongoló,NA,509
angry,soongoschééy,NA,509
angry,sossoong,NA,509
anguish,lirhippúng,TAN,509
anguish,lischippúng,NA,509
animal,alifanti,NA,509
animal,aligitór,TAN,509
animal,arhegerh,TAN,509
animal,bwari,NA,509
animal,bwáábwá,TAN,509
animal,bwuliiko,NA,509
animal,denden,NA,509
animal,galuuf,TAN,509
animal,gattu,TAN,509
animal,geerh,TAN,509
animal,gulaag,TAN,509
animal,gúyél,TAN,509
animal,ghaluuf,NA,509
animal,gharibwów,NA,510
animal,ghattu,NA,510
animal,gheesch,NA,510
animal,gheesch ghikkit,NA,510
animal,ghubwaayo,NA,510
animal,ghulóógh,NA,510
animal,ghúúw3,NA,510
animal,kaimaan,NA,510
animal,kkairo,NA,510
animal,kameezo,NA,510
animal,kkaribwów,TAN,510
animal,kkiniilo,NA,510
animal,kunneeyo,NA,510
animal,layú-,NA,510
animal,liamwút,NA,510
animal,lipeipaay,NA,510
animal,lituung,NA,510
animal,-mal,NA,510
animal,maal1,NA,510
animal,malefighir,NA,510
animal,malemwóscho,NA,510
animal,maan1,"TAN, LN",510
animal,melóósch,NA,510
animal,mwéél1,NA,510
animal,mwunyeeka,NA,510
animal,ooso,NA,511
animal,paischééy,NA,511
animal,–rhay,TAN,511
animal,saaru,NA,511
animal,siibwa,NA,511
animal,siilo,NA,511
animal,–scháy,NA,511
animal,tiigiri,TAN,511
animal,tighiri,NA,511
animal,wakke,NA,511
animal,woong,NA,511
animal,wongomaaw,NA,511
animal,wongorás,NA,511
ankle,gurubw1,TAN,511
ankle,ghurubw1,NA,511
announcement,arongorong,NA,511
annoy,abwayi,NA,511
annoy,abwayú,TAN,511
annoy,abwurhubwurh,TAN,511
annoy,abwuschubwusch,NA,511
annoy,agu,TAN,511
annoy,aghuuw,NA,511
annoy,ahoong,TAN,512
annoy,amwáángi,NA,512
annoy,asoong,NA,512
annoy,asúngúsúng,NA,512
annoy,filimwááng,NA,512
annoy,gu,TAN,512
annoy,ghu,NA,512
annoy,masanngaw,NA,512
annoy,mwááng,NA,512
annoy,mwáángiló,NA,512
annoy,stotba,NA,512
annoyance,aisus,NA,512
anoint,ammihi,TAN,512
anoint,ammisi,NA,512
anoint,ákkápit,NA,512
another,bwaleew,NA,512
answer,appaliyen,TAN,512
answer,appalúwal,NA,512
answer,appalúweli,NA,512
answer,palúwal1,NA,513
answer,palúweli,NA,513
ant,lééng,NA,513
ant,ugerh,TAN,513
ant,wughesch,NA,513
antagonist,malenngaw,NA,513
antagonist,manebwutag,TAN,513
Antares,Tumwur,NA,513
anticipate,apúngúpúng1,NA,513
anticipate,áirághiiy,NA,513
antler,falú-,NA,513
anus,liiwet,NA,513
anxious,ailangiiy,NA,513
anxious,ailengiiy,TAN,513
anxious,mesaghasagh,NA,513
anxious,peiriir,NA,513
anxious,rúúrú,NA,513
aphrodisiac,ilimás,NA,514
aphrodisiac,inemes,TAN,514
aphrodisiac,ommwung,NA,514
apologize,amwohomwoh,TAN,514
apologize,amwosomwos,NA,514
apologize,fayúscho1,NA,514
appear,bwá,NA,514
appear,bwááwow,NA,514
appear,fih,TAN,514
appear,lla,NA,514
appear,nna,TAN,514
appear,ppwá,NA,514
appearance,lapalap,NA,514
appease,áschipaschip,NA,514
appease,áschipaschipa,NA,514
appetite,paaschugh,NA,514
appetite,ssomw,TAN,514
appetite,ssumw1,NA,515
applaud,pighipigh,NA,515
apple,anoonas,NA,515
apple,aatis,NA,515
apple,fááliyáp,NA,515
apple,fáániyáp,TAN,515
apportion,aineti,"TAN, LN",515
apportion,inet2,"TAN, LN",515
apportion,patti,NA,515
apprehensive,parang,NA,515
approach,akkarap,NA,515
approach,arapeto,NA,515
approach,mescherágh,NA,515
approach,mweteto,NA,515
appropriate,fil,NA,515
appropriate,ghatch,NA,515
appropriate,kkofirh,TAN,515
appropriate,tamafisch,NA,515
April,Abrid,NA,516
Aquila,Paay Efeng,NA,516
Aquila,Paay Yéér,NA,516
arbitrator,schóól aweewe,NA,516
arbitrator,schóól aweeweel kkapas,NA,516
Arcturus,Aremwoy,NA,516
argue,arh,TAN,516
argue,ángiingi,NA,516
argue,yásch,NA,516
argument,fitighoogho,NA,516
Aries,Ghúúw,NA,516
arise,áschitá2,NA,516
arithmetic,kuentas,NA,516
arm,gúrúfááfá,TAN,516
arm,paay1,NA,516
arm,paay má,NA,516
aroma,bwoo–,NA,517
aroma,ngaas,NA,517
aroma,uwah,TAN,517
aroma,uwas,NA,517
aromatic,–ngas,NA,517
around,aro–,NA,517
around,bwáliiy,NA,517
around,fetál,NA,517
arrange,limeti,NA,517
arrive,atol3,NA,517
arrive,ffééto,NA,517
arrive,ghola,NA,517
arrive,too–,NA,517
arrive,tooló,NA,517
arrive,toori,NA,517
arrive,tooto,NA,517
arrive,war,NA,517
arrive,wareto,NA,517
arrogant,mwáálesol,NA,517
arrogant,rááng,NA,518
arrow,yuumi,NA,518
arrow,yuumiiy,NA,518
arrowroot,mógomóg,TAN,518
arrowroot,móghomógh,NA,518
artery,waa2,NA,518
as,bwe2,NA,518
as,bwe3,NA,518
as,igha1,NA,518
ashamed,hááw,TAN,518
ashamed,linginngaw,NA,518
ashamed,sááw,NA,518
ashes,ammwoorh,TAN,518
ashes,ammwoorhalong,TAN,518
ashes,ammwóósch,NA,518
ashes,ammwóóschalong,NA,518
ashes,falang,NA,518
ashes,mwóósch,NA,518
ashes,mwuli,NA,519
ashtray,aizira,NA,519
ashtray,haizira,TAN,519
ask,aiyeg,TAN,519
ask,aiyegi,TAN,519
ask,aiyegh,NA,519
ask,aiyeghi,NA,519
ask,aúné,"TAN, LN",519
ask,aúnééy,TAN,519
ask,ayúlé,NA,519
ask,ayúlééw,NA,519
ask,lugun perhe,TAN,519
ask,lughul pesche,NA,519
ask,tingór,NA,519
ask,tingóreey,NA,519
ask,tingóromaaw,NA,519
asleep,asseiparh,TAN,519
asleep,asseipasch,NA,519
asleep,malúúlú,NA,519
asleep,mayúr,NA,519
asleep,nenne,NA,519
As Perdido,Asughunnu,NA,519
aspirin,aspiriina,NA,520
assault,móówula,NA,520
assemble,arhúúy,TAN,520
assemble,aschuuw,NA,520
assemble,úyénég,TAN,520
assemble,yéélágh,NA,520
assembly,rhuu,TAN,520
assembly,rhuulap,TAN,520
assembly,schuu,NA,520
assembly,schuulap,NA,520
assembly,toulap,NA,520
assembly,úyénég,TAN,520
assembly,yéélágh,NA,520
assist,alillih,TAN,520
assist,llih,TAN,520
assist,llis,NA,520
assist,tapatap2,NA,520
assist,tepang,NA,520
assist,tepángi,NA,520
assist,túmúlú,NA,520
assist,túmúnú,"TAN, LN",521
asthma,guuha,TAN,521
asthma,ghuuwa,NA,521
Asuncion,Sangórhól,TAN,521
Asuncion,Songoschól,NA,521
at,lee–,NA,521
at,me1,NA,521
at,ree–1,NA,521
at last,ottimwool,NA,521
atoll,Fánáápi,TAN,521
atoll,Feláápi,NA,521
atoll,téé,NA,521
attach,ppaschangáli,NA,521
attach,pascheey,NA,521
attack,móówul,NA,521
attack,móówula,NA,521
attack,rupeeti,NA,521
attempt,mil2,NA,522
attempt,satoni,TAN,522
attempt,sótol,NA,522
attempt,sótoli,NA,522
attention,faffalló,NA,522
attention,lúghútchów,NA,522
attentive,rongáágh,NA,522
attentive,rongoschigh,NA,522
attitude,féérúl,NA,522
attorney,difensoot,NA,522
attractive,amweschiya,NA,522
attractive,mwaamwaay,NA,522
attractive,wooghatch,NA,522
attributive prefix,li–,NA,522
attributive suffix,–l2,NA,522
August,Agosto,NA,523
aunt,tiiya,NA,523
Australian pine,weegu,TAN,523
Australian pine,weighu,NA,523
authority,lemelem,NA,523
authority,nemenem,LN,523
automobile,gareeta,TAN,523
automobile,ghareeta,NA,523
automobile,móókkinaal ghareeta,NA,523
automobile,tomwoobid,NA,523
avaricious,heriyo,TAN,523
awake,lifang,NA,523
awake,mmah,TAN,523
awake,mmas,NA,523
awake,mmasaffat,NA,523
awake,metaffaló,NA,523
awake,miyááf,NA,523
awake,miyááfeló,NA,523
awake,miyááfetá,NA,524
awake,rhimwetá,TAN,524
awake,schimwetá,NA,524
aware,apareli,NA,524
aware,apareni,TAN,524
away,hengi1,TAN,524
away,–ló3,NA,524
away,sángi1,NA,524
axe,asóópal,TAN,524
axe,sóópel,NA,524
axle,ehe1,NA,524
baby,góógó,TAN,525
baby,ghóóghó,NA,525
baby,schopungi,NA,525
baby-sit,leghelegh,NA,525
baby-sit,negeneg,TAN,525
baby-sit,neghenegh,LN,525
baby-sit,piighát,NA,525
baby-sit,piighátiiy,NA,525
bachelor,aleweisch,NA,525
bachelor,aliyal,NA,525
back,hagúr,TAN,525
back,mwiir,NA,525
back,saghúr,NA,525
back and forth,sápeló-sápeto,NA,525
backbone,hagúr,TAN,525
backbone,saghúr,NA,525
backbone,schúúlap,NA,525
backwards,woghetágh,NA,525
bad,–bwut,NA,526
bad,bwuutag,TAN,526
bad,hoo–2,TAN,526
bad,malenngaw,NA,526
bad,manebwutag,TAN,526
bad,nngaw,NA,526
bad,nngawa–,NA,526
bad,nngawaló,NA,526
bad,soo–,NA,526
bad luck,dimóólas,NA,526
bad luck,waihet,TAN,526
bad luck,weisát,NA,526
bad omen,waihet,TAN,526
bad omen,weisát,NA,526
bad-tempered,súngúnngów,NA,526
bad weather,lángiláng,NA,526
bad weather,lengileng,TAN,526
bag,fuuto,NA,526
bag,tugh,NA,526
baggy,bwóhalihal,TAN,526
baggy,bwósééliyél2,NA,526
bail,ammat,NA,527
bail,ammata,NA,527
bailer,ammat,NA,527
bait,amón,TAN,527
bait,amwal,NA,527
bait,kkóbw2,NA,527
bald,bwoozu,NA,527
bald,dangas,NA,527
bald,ghúrúffasch,NA,527
bald,ghúrúffascha,NA,527
bald,limagúreffarh,TAN,527
bald,lischimwéffasch,NA,527
bald,schimwoffasch,NA,527
ball,bwoola,NA,527
ball,lippé,TAN,527
ball,pééli,NA,527
balloon,ligabwoobwo,TAN,527
balloon,lighabwoobwo,NA,527
balloonfish,ligabwoobwo,TAN,527
balloonfish,lighabwoobwo,NA,527
balloonfish,wáát,NA,527
bamboo,bwaay 1,NA,528
bamboo,ligippwaay,TAN,528
bamboo,lighippwáy,NA,528
banana,soghosogh,NA,528
banana,tigéér,TAN,528
banana,túghéér,NA,528
banana,uurh,TAN,528
banana,uurh mwodatchór,TAN,528
banana,wiisch,NA,528
banana,wiisch addiin,NA,528
banana,wiisch bwungurh,TAN,528
banana,wiisch bwungusch,NA,528
banana,wiisch dóóma,NA,528
banana,wiisch fayúmmwosch,NA,528
banana,wiisch looriya,NA,528
banana,wiisch mwéschétchar,NA,528
banana,wiisch taiwang,NA,528
banana,wischarung,NA,528
banana,wischewówu,NA,528
banana,wischiffay,NA,528
banana,–yis,NA,529
band,schóól atittigh,NA,529
bandit,malemwóscho,NA,529
bang,aléllérh,TAN,529
bang,aléllésch,NA,529
bang,llérh2,TAN,529
bang,llésch,NA,529
bank,bwóngko,NA,529
banyan,aaw2,NA,529
banyan,ghiliaw,NA,529
barbecue,abwerhi,TAN,529
barbecue,abweschi,NA,529
barbecue,appwesch,NA,529
barbecue,mayúl,NA,529
barbecue,ubwuschól,NA,529
bare,ffasch1,NA,529
bark,ériyér,NA,530
bark,giil,TAN,530
bark,ghiil1,NA,530
barracuda,saraw,NA,530
barrel,tiina,NA,530
basalt,aschaw,NA,530
basalt,porow,NA,530
base,rhááp,TAN,530
base,schááp,NA,530
baseball,ampaiya,NA,530
baseball,bwoolaal batta,NA,530
baseball,bwoolaal paanak,NA,530
baseball,diiyo,NA,530
baseball,óut,NA,530
baseball,tughutugh,NA,530
baseball,túgútúg,TAN,530
basil,taibwo,NA,530
basil,warúng,NA,530
basil,wérúng,TAN,530
basis,bweletáá-,NA,531
basis,bwenetáá-,"TAN, LN",531
basket,bwaarh,TAN,531
basket,bwaasch,NA,531
basket,bwutow,TAN,531
basket,bwutów,NA,531
basket,gháighesch,NA,531
basket,kkatuupat,NA,531
basket,mwárighar,NA,531
basket,–rhúg,TAN,531
basket,rhúúg,TAN,531
basket,–schúgh,NA,531
basket,schúúgh,NA,531
basket,tuugh2,NA,531
basketball,pééli,NA,531
bass,malosolos,TAN,531
bass,malúsúlus,NA,531
bat,ghaluuti,NA,531
bat,paischééy,NA,531
bat,wirhiwirh,TAN,531
bat,wischiwisch,NA,532
bathe,túútú,NA,532
bathroom,bwóónyo,NA,532
bathroom,imwal bwuse,NA,532
bathroom,imwal kklaisis,S,532
bathroom,imwan tiweló,TAN,532
bathroom,kkómmwun,NA,532
batter,wirhingeni,TAN,532
batter,wischingeli,NA,532
battle,gheera,NA,532
battle,móówul,NA,532
battle,móówula,NA,532
bay,laam 3,NA,532
be,eoor,TAN,532
be,eyoor,NA,532
be,lo1,NA,532
be,no,"TAN, LN",532
be,yoor,NA,532
beach,leppi,NA,532
beach,ppi1,NA,532
bead,ppwul2,TAN,533
bead,usous,NA,533
beam,weey3,NA,533
bean,fiyoolis,NA,533
bean,mwonggos,NA,533
bean,olu,TAN,533
bean,oolu,NA,533
bear1,ooso,NA,533
bear2,uwa2,NA,533
beard,alúh,TAN,533
beard,alús2,NA,533
beat,amalaaló,NA,533
beat,aminaaló,TAN,533
beat,ássááli,NA,533
beat,lli,NA,533
beat,liiy,NA,533
beat,nni,"TAN, LN",533
beat,wirhingeni,TAN,534
beat,wirhiwirh,TAN,534
beat,wischingeli,NA,534
beat,wischiwisch,NA,534
beautiful,amweschiya,NA,534
beautiful,limwaamwaay,NA,534
beautiful,lling,NA,534
beautiful,liris,NA,534
beautiful,malemwaamwaay,NA,534
beautiful,mwaamwaay,NA,534
beautiful,ris,NA,534
beautify,limeti,NA,534
beauty,mwaamwaay,NA,534
beauty mark,rumwurumw,NA,534
because,bwe3,NA,534
because,bwe igha,NA,534
because,bwe ighiwe,NA,534
because,bwe ilaal,NA,534
because,bwe imwu,NA,534
because,bwe iwe,NA,535
because,ree-1,NA,535
beckon,faingi,NA,535
beckon,ffay,NA,535
beckon,tchimwetiw,NA,535
become,-ló1,NA,535
bed,kaatiri,NA,535
bee,abeeha,TAN,535
bee,abeeya,NA,535
beer,biiru,NA,535
beetle,lighaawong,NA,535
before,mmwa-1,NA,535
before,taftaf,NA,535
beg,mwescheleyá,NA,535
beg,tepang,NA,535
beg,tingóromaaw,NA,535
beg forgiveness,amwohomwoh,TAN,536
beg forgiveness,amwosomwos,NA,536
begin,bwel,NA,536
begin,láál,NA,536
begin,láán,TAN,536
begin,–tá,NA,536
beginning,bweletáá-,NA,536
beginning,bwenetáá-,"TAN, LN",536
behalf,kkapaháágini,TAN,536
behalf,kkapasáághili,NA,536
behave,fang³,TAN,536
behave,selingááfisch,NA,536
behind,lu,NA,536
behind,mwiir,NA,536
behind,mwiril,NA,536
belch,gérér,TAN,536
belch,ghérér,NA,536
belief,houlang,TAN,536
belief,meefi1,NA,537
belief,soulang,NA,537
beliefs,afféér,NA,537
beliefs,agheta,NA,537
beliefs,ahoomá,TAN,537
beliefs,akkaghil2,NA,537
beliefs,alolomwaay,NA,537
beliefs,alú,NA,537
beliefs,alúúl falúw,NA,537
beliefs,alúúl leeimw,NA,537
beliefs,alúúl leeyil walúwal,NA,537
beliefs,alúúl sáát,NA,537
beliefs,amet,NA,537
beliefs,amwoongél,NA,537
beliefs,anú,"TAN, LN",537
beliefs,aseeiyal,NA,537
beliefs,asoomá,NA,537
beliefs,asootubw,NA,538
beliefs,atughutugh,NA,538
beliefs,atúgútúg,TAN,538
beliefs,awaratá,NA,538
beliefs,awarawar,NA,538
beliefs,awárátá,TAN,538
beliefs,bwalabwal,NA,538
beliefs,bwalúw,NA,538
beliefs,bwee,NA,538
beliefs,bweey1,NA,538
beliefs,faabwong,NA,538
beliefs,fayúpar,NA,538
beliefs,filiiti,NA,538
beliefs,fiirourow,NA,538
beliefs,ffirh2,TAN,538
beliefs,ffisch2,NA,538
beliefs,gát,TAN,539
beliefs,giin1,TAN,539
beliefs,goh,TAN,539
beliefs,gooh2,TAN,539
beliefs,ghát,NA,539
beliefs,gháát,NA,539
beliefs,ghos,NA,539
beliefs,ghoos2,NA,539
beliefs,ghoow,NA,539
beliefs,hafey,TAN,539
beliefs,imwalighet,NA,539
beliefs,kaaka,NA,539
beliefs,legh,NA,539
beliefs,ligirhól,TAN,539
beliefs,Luugh,NA,539
beliefs,luus,NA,539
beliefs,malebwut,NA,539
beliefs,maram uschóósch,NA,539
beliefs,miláfféér,NA,540
beliefs,neg,TAN,540
beliefs,negh,LN,540
beliefs,ngéél,NA,540
beliefs,ommwung,NA,540
beliefs,paitingáli,NA,540
beliefs,pil,NA,540
beliefs,piil,NA,540
beliefs,pilil ighapar,NA,540
beliefs,pilil málebwiibwi,NA,540
beliefs,pilil róghumw,NA,540
beliefs,pilil woong,NA,540
beliefs,rongol uschow,NA,540
beliefs,róóng,NA,540
beliefs,ghurughur,NA,540
beliefs,mwáár,NA,540
beliefs,rhóóngi,TAN,540
beliefs,sáfey,NA,540
beliefs,sáághi,NA,540
beliefs,soope,NA,540
beliefs,sousow1,NA,540
beliefs,sóusáfey,NA,541
beliefs,sóusów2,NA,541
beliefs,schóól awarawar,NA,541
beliefs,schóóngi,NA,541
beliefs,táreyágh,NA,541
beliefs,teriyeg,TAN,541
beliefs,ttorofágh,NA,541
beliefs,ungupat,NA,541
beliefs,walapil,NA,541
beliefs,wiiyáng,NA,541
believe,alughulugha,NA,541
believe,alúgúlúgú,TAN,541
believe,alúghúúw,NA,541
believe,lúgú,TAN,541
believe,lúgúlúg,TAN,541
believe,lúghúlúgh,NA,541
believe,lúghúúw,NA,541
bell,paarang,NA,541
belongings,pisegh,NA,542
belongings,rhawar,TAN,542
belongings,schowar,NA,542
belt,ghiil3,NA,542
belt,loulow,NA,542
belt,senturoon,NA,542
bench,bwóngko,NA,542
bend,apilipil,NA,542
bend,apinipin,"TAN, LN",542
bend,atiga,TAN,542
bend,bwór,NA,542
bend,bwórotiw,NA,542
bend,óbwuráátiw,NA,542
bend,ppwór,NA,542
bent,bwór,NA,542
bent,gé,TAN,542
bent,ghé,NA,542
berserk,ngetetá,TAN,542
beside,olopeigh,NA,543
besides,fiti2,NA,543
bet,auruw,NA,543
betel nut,lihoungúúngúúppwu,TAN,543
betel nut,lisoungúúngúúppwu,NA,543
betel nut,ppwu,NA,543
betel nut,ppwu mangúsch,NA,543
betel nut,ppwu tchamaaw,NA,543
betel nut,waluwal,NA,543
better,únngúló,NA,543
bettor,rhóón apósta,TAN,543
between,áleepat,NA,543
between,leepat,NA,543
between,leyi–,NA,543
beverage,úlúma–,NA,543
beyond,aluu–,NA,543
beyond,aluuy,TAN,543
bicycle,biskileeta,NA,543
bid farewell,ahoow,TAN,544
bid farewell,akkabwung2,TAN,544
bid farewell,houló,TAN,544
bid farewell,ókkóbwong,NA,544
big,atomwóghaaló,NA,544
big,daibang,NA,544
big,daiwatte,NA,544
big,lap,NA,544
big,lapaló,NA,544
big,likkáp,TAN,544
big,tomwógh,NA,544
bile,áát2,NA,544
bind,allégh,NA,544
bind,alléghú,NA,544
bind,annég,TAN,544
bind,annégú,TAN,544
bind,apilúgúlúgú,TAN,544
bind,apilúghúlúghúúw,NA,544
bird,agila2,NA,544
bird,ahaf,TAN,544
bird,araar,NA,544
bird,asaf,NA,544
bird,bwáá,NA,545
bird,bwóó2,NA,545
bird,fappi,NA,545
bird,giyegi,TAN,545
bird,guliing,TAN,545
bird,gurugaag,TAN,545
bird,ghilalamá,NA,545
bird,ghiyeghi2,NA,545
bird,ghuliing,NA,545
bird,ghurughaagh,NA,545
bird,húúg,TAN,545
bird,lifóro,NA,545
bird,lighakkayang,NA,545
bird,lighischawur,NA,545
bird,lissiyobw,NA,545
bird,lituughupar,NA,545
bird,litchog,TAN,545
bird,litchogh,NA,545
bird,maal1,NA,545
